Waktu (s);Vo (V);I (A)
0.000000;0.000010;1.000000 
0.100010;0.095181;0.904828 
0.200000;0.181278;0.818730 
0.300000;0.259190;0.740817 
0.400000;0.329688;0.670319 
0.500000;0.393477;0.606529 
0.600010;0.451201;0.548805 
0.700010;0.503426;0.496579 
0.800010;0.550682;0.449323 
0.900010;0.593440;0.406564 
1.000010;0.632130;0.367874 
1.100010;0.667137;0.332866 
1.200010;0.698814;0.301189 
1.300000;0.727473;0.272530 
1.400000;0.753407;0.246595 
1.500000;0.776874;0.223128 
1.600000;0.798107;0.201895 
1.700000;0.817320;0.182682 
1.800000;0.834704;0.165297 
1.900000;0.850434;0.149567 
2.000000;0.864667;0.135334 
2.100000;0.877546;0.122455 
2.200000;0.889199;0.110802 
2.300000;0.899743;0.100258 
2.400000;0.909284;0.090717 
2.500000;0.917917;0.082084 
2.600000;0.925728;0.074273 
2.700000;0.932796;0.067205 
2.800000;0.939191;0.060809 
2.900000;0.944978;0.055022 
3.000000;0.950214;0.049786 
3.100000;0.954952;0.045049 
3.200000;0.959239;0.040762 
3.300000;0.963118;0.036883 
3.400000;0.966628;0.033373 
3.500000;0.969803;0.030197 
3.600000;0.972677;0.027323 
3.700000;0.975277;0.024723 
3.800000;0.977630;0.022370 
3.900000;0.979759;0.020242 
4.000000;0.981685;0.018315 
4.100000;0.983428;0.016572 
4.200000;0.985005;0.014995 
4.300000;0.986432;0.013568 
4.400000;0.987723;0.012277 
4.500010;0.988891;0.011109 
4.600010;0.989949;0.010052 
4.700010;0.990905;0.009095 
4.800010;0.991771;0.008229 
4.900010;0.992554;0.007446 
5.000010;0.993262;0.006738 
5.100010;0.993904;0.006097 
5.200010;0.994484;0.005516 
5.300010;0.995009;0.004991 
5.400010;0.995484;0.004516 
5.500010;0.995913;0.004087 
5.600010;0.996302;0.003698 
5.700010;0.996654;0.003346 
5.800010;0.996973;0.003027 
5.900010;0.997261;0.002739 
6.000010;0.997521;0.002479 
6.100010;0.997757;0.002243 
6.200010;0.997971;0.002029 
6.300010;0.998164;0.001836 
6.400010;0.998339;0.001661 
6.500010;0.998497;0.001503 
6.600010;0.998640;0.001360 
6.700010;0.998769;0.001231 
6.800010;0.998886;0.001114 
6.900010;0.998992;0.001008 
7.000010;0.999088;0.000912 
7.100010;0.999175;0.000825 
7.200010;0.999253;0.000747 
7.300010;0.999324;0.000676 
7.400010;0.999389;0.000611 
7.500010;0.999447;0.000553 
7.600010;0.999500;0.000500 
7.700010;0.999547;0.000453 
7.800010;0.999590;0.000410 
7.900010;0.999629;0.000371 
8.000010;0.999665;0.000335 
8.100010;0.999696;0.000304 
8.200010;0.999725;0.000275 
8.300010;0.999751;0.000249 
8.400010;0.999775;0.000225 
8.500010;0.999797;0.000203 
8.600010;0.999816;0.000184 
8.700010;0.999833;0.000167 
8.800010;0.999849;0.000151 
8.900010;0.999864;0.000136 
9.000010;0.999877;0.000123 
9.100010;0.999888;0.000112 
9.200010;0.999899;0.000101 
9.300010;0.999909;0.000091 
9.400010;0.999917;0.000083 
9.500010;0.999925;0.000075 
9.600010;0.999932;0.000068 
9.700010;0.999939;0.000061 
9.800010;0.999945;0.000055 
9.900010;0.999950;0.000050 
