Waktu,Vc(V)
0.000000,500.000000
0.000010,-24000.000000
0.000020,1176500.000000
0.000030,-57648000.000000
0.000040,2824752500.000000
0.000050,-138412872000.000000
0.000060,6782230728500.000000
0.000070,-332329305696000.060000
0.000080,16284135979104502.000000
0.000090,-797922662976120060.000000
0.000100,39098210485829886000.000000
0.000110,-1915812313805664600000.000000
0.000120,93874803376477553000000.000000
0.000130,-4599865365447400000000000.000000
0.000140,225393402906922570000000000.000000
0.000150,-11044276742439205000000000000.000000
0.000160,541169560379520970000000000000.000000
0.000170,-26517308458596528000000000000000.000000
0.000180,1299348114471229800000000000000000.000000
0.000190,-63668057609090268000000000000000000.000000
0.000200,3119734822845422800000000000000000000.000000
0.000210,-152867006319425730000000000000000000000.000000
0.000220,7490483309651860400000000000000000000000.000000
0.000230,-367033682172941210000000000000000000000000.000000
0.000240,17984650426474120000000000000000000000000000.000000
0.000250,-881247870897231640000000000000000000000000000.000000
0.000260,43181145673964351000000000000000000000000000000.000000
0.000270,-2115876138024253200000000000000000000000000000000.000000
0.000280,103677930763188420000000000000000000000000000000000.000000
0.000290,-5080218607396232500000000000000000000000000000000000.000000
0.000300,248930711762415390000000000000000000000000000000000000.000000
0.000310,-12197604876358356000000000000000000000000000000000000000.000000
0.000320,597682638941559370000000000000000000000000000000000000000.000000
0.000330,-29286449308136413000000000000000000000000000000000000000000.000000
0.000340,1435036016098684300000000000000000000000000000000000000000000.000000
0.000350,-70316764788835537000000000000000000000000000000000000000000000.000000
0.000360,3445521474652942000000000000000000000000000000000000000000000000.000000
0.000370,-168830552257994190000000000000000000000000000000000000000000000000.000000
0.000380,8272697060641716300000000000000000000000000000000000000000000000000.000000
0.000390,-405362155971444070000000000000000000000000000000000000000000000000000.000000
0.000400,19862745642600756000000000000000000000000000000000000000000000000000000.000000
0.000410,-973274536487437090000000000000000000000000000000000000000000000000000000.000000
0.000420,47690452287884419000000000000000000000000000000000000000000000000000000000.000000
0.000430,-2336832162106336300000000000000000000000000000000000000000000000000000000000.000000
0.000440,114504775943210500000000000000000000000000000000000000000000000000000000000000.000000
0.000450,-5610734021217314400000000000000000000000000000000000000000000000000000000000000.000000
0.000460,274925967039648360000000000000000000000000000000000000000000000000000000000000000.000000
0.000470,-13471372384942770000000000000000000000000000000000000000000000000000000000000000000.000000
0.000480,660097246862195740000000000000000000000000000000000000000000000000000000000000000000.000000
0.000490,-32344765096247594000000000000000000000000000000000000000000000000000000000000000000000.000000
0.000500,1584893489716132200000000000000000000000000000000000000000000000000000000000000000000000.000000
0.000510,-77659780996090484000000000000000000000000000000000000000000000000000000000000000000000000.000000
0.000520,3805329268808433600000000000000000000000000000000000000000000000000000000000000000000000000.000000
0.000530,-186461134171613240000000000000000000000000000000000000000000000000000000000000000000000000000.000000
0.000540,9136595574409049200000000000000000000000000000000000000000000000000000000000000000000000000000.000000
0.000550,-447693183146043430000000000000000000000000000000000000000000000000000000000000000000000000000000.000000
0.000560,21936965974156126000000000000000000000000000000000000000000000000000000000000000000000000000000000.000000
0.000570,-1074911332733650400000000000000000000000000000000000000000000000000000000000000000000000000000000000.000000
0.000580,52670655303948874000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000000
0.000590,-2580862109893495400000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000000
0.000600,126462243384781270000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000000
0.000610,-6196649925854282500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000000
0.000620,303635846366859890000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000000
0.000630,-14878156471976134000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000000
0.000640,729029667126830700000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000000
0.000650,-35722453689214707000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000000
0.000660,1750400230771520700000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000000
0.000670,-85769611307804518000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000000
0.000680,4202710954082421700000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000000
0.000690,-205932836750038620000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000000
0.000700,10090709000751892000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000000
0.000710,-494444741036842770000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000000
0.000720,24227792310805295000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000000
0.000730,-1187161823229459500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000000
0.000740,58170929338243524000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000000
0.000750,-2850375537573933000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000000
0.000760,139668401341122710000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000000
0.000770,-6843751665715013700000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000000
0.000780,335343831620035700000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000000
0.000790,-16431847749381749000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000000
0.000800,805160539719705890000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000000
0.000810,-39452866446265591000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000000
0.000820,1933190455867014100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000000
0.000830,-94726332337483689000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000000
0.000840,4641590284536700300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000000
0.000850,-227437923942298330000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000000
0.000860,11144458273172619000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000000
0.000870,-546078455385458320000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000000
0.000880,26757844313887461000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000000
0.000890,-1311134371380485700000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000000
0.000900,64245584197643794000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000000
0.000910,-3148033625684545800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000000
0.000920,154253647658542760000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000000
0.000930,-7558428735268593900000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000000
0.000940,370363008028161130000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000000
0.000950,-18147787393379899000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000000
0.000960,889241582275614920000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000000
0.000970,-43572837531505132000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000000
0.000980,2135069039043751600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000000
0.000990,-104618382913143830000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000000
0.001000,5126300762744048000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000000
0.001010,-251188737374458380000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000000
0.001020,12308248131348460000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000000
0.001030,-603104158436074500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000000
0.001040,29552103763367653000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000000
0.001050,-1448053084405014900000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000000
0.001060,70954601135845739000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000000
0.001070,-3476775455656440900000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000000
0.001080,170361997327165610000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000000
0.001090,-8347737869031115600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000000
0.001100,409039155582524630000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000000
0.001110,-20042918623543706000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000000
0.001120,982103012553641710000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000000
0.001130,-48123047615128448000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000000
0.001140,2358029333141294100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000000
0.001150,-115543437323923420000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000000
0.001160,5661628428872248400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000000
0.001170,-277419793014740150000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000000
0.001180,13593569857722266000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000000
0.001190,-666084923028391080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000000
0.001200,32638161228391164000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000000
0.001210,-1599269900191167400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000000
0.001220,78364225109367203000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000000
0.001230,-3839847030358992900000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000000
0.001240,188152504487590660000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000000
0.001250,-9219472719891942400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000000
0.001260,451754163274705160000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000000
0.001270,-22135954000460551000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000000
0.001280,1084661746022567000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000000
0.001290,-53148425555105784000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000000
0.001300,2604272852200183500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000000
0.001310,-127609369757808990000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000000
0.001320,6252859118132638800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000000
0.001330,-306390096788499300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000000
0.001340,15013114742636464000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000000
0.001350,-735642622389186850000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000000
0.001360,36046488497070157000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000000
0.001370,-1766277936356437500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000000
0.001380,86547618881465446000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000000
0.001390,-4240833325191807400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000000
0.001400,207800832934398580000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000000
0.001410,-10182240813785533000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000000
0.001420,498929799875491130000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000000
0.001430,-24447560193899063000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000000
0.001440,1197930449501054000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000000
0.001450,-58698592025551658000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000000
0.001460,2876231009252031700000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000000
0.001470,-140935319453349540000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000000
0.001480,6905830653214128700000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000000
0.001490,-338385702007492280000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000000
0.001500,16580899398367121000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000000
0.001510,-812464070519989000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000000
0.001520,39810739455479465000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000000
0.001530,-1950726233318493900000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000000
0.001540,95585585432606193000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000000
0.001550,-4683693686197703100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000000
0.001560,229500990623687460000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000000
